title,lyrics,album
Alone I Break,"Pick me up Been bleeding too long Right here, right now I'll stop it somehow I will make it go away Can't be here no more Seems this is the only way I will soon be gone These feelings will be gone These feelings will be gone Now I see the times they change Leaving doesn't seem so strange I am hoping I can find Where to leave my hurt behind All the shit I seem to take All alone I seem to break I have lived the best I can Does this make me not a man? Shut me off I'm ready, heart stops I stand alone Can't be on my own  Pick me up Been bleeding too long Right here, right now I'll stop it somehow I will make it go away Can't be here no more Seems this is the only way I will soon be gone These feelings will be gone These feelings will be gone Now I see the times they change Leaving doesn't seem so strange I am hoping I can find Where to leave my hurt behind All the shit I seem to take All alone I seem to break I have lived the best I can Does this make me not a man? Shut me off I'm ready, heart stops I stand alone Can't be on my own I will make it go away Can't be here no more Seems this is the only way I will soon be gone These feelings will be gone These feelings will be gone Now I see the times they change Leaving doesn't seem so strange I am hoping I can find Where to leave my hurt behind All the shit I seem to take All alone I seem to break I have lived the best I can Does this make me not a man? Am I going to leave this place? What is it I'm hiding from? Is there nothing more to come? Is it only black in space? Am I going to take its place? Am I going to win this race? I guess God's up in this place What is it that I've become? Is there something more to come? More to come Now I see the times they change Leaving doesn't seem so strange I am hoping I can find Where to leave my hurt behind All the shit I seem to take All alone I seem to break I have lived the best I can Does this make me not a man? Now I see the times they change Leaving doesn't seem so strange I am hoping I can find Where to leave my hurt behind All the shit I seem to take All alone I seem to break I have lived the best I can Does this make me not a man?",Untouchables
Black Is the Soul,"As it all falls down Do I walk away? Or do l stand my ground And accept my fate? And there's the faceless cries That twist my every dream And almost every night I hear the demon sing Why are we going on this way? Why do we play these games in vain? Nothing's gonna break it down And build us back again So why did the path have to lead this way? Black is the soul that's led astray You're leading me to places I can never follow Happiness is found In the darkest ways And as I search around I knew nothing but mistakes  As it all falls down Do I walk away? Or do l stand my ground And accept my fate? And there's the faceless cries That twist my every dream And almost every night I hear the demon sing Why are we going on this way? Why do we play these games in vain? Nothing's gonna break it down And build us back again So why did the path have to lead this way? Black is the soul that's led astray You're leading me to places I can never follow Happiness is found In the darkest ways And as I search around I knew nothing but mistakes And there's the faceless cries That twist my every dream And almost every night I hear the demon sing Why are we going on this way? Why do we play these games in vain? Nothing's gonna break it down And build us back again So why did the path have to lead this way? Black is the soul that's led astray You're leading me to places I can never follow And when you scream You push me so much further ahead And when I leave I always walk right back again And when you cry The tears are cleansing bitterness I'm out of time I'm slowly dying, give me back my life! Just give me back my life! Just give me back my life! Just give me back my lies! Why are we going on this way? Why do we play these games? Nothing's gonna break it down And build us back again So why did the path have to lead this way? Black is the soul that's led astray You're leading me to places I can never follow As it all falls down Do I walk away? Or do I stand my ground There's nothing left to say",The Serenity of Suffering
Kill You,"Living life, don't you cry My life, pain is God Many nights, painful thoughts occur Yell at me again, I'm numb In denial, I tried to be your friend I tried to be a good boy All I see, a hate deep inside Startle me, someone save me Now, these memories fill my heart They bury me All I wanna do Is kill you All I wanna do Is kill you All I wanna do Is kill you All I wanna do Is kill you!  Living life, don't you cry My life, pain is God Many nights, painful thoughts occur Yell at me again, I'm numb In denial, I tried to be your friend I tried to be a good boy All I see, a hate deep inside Startle me, someone save me Now, these memories fill my heart They bury me All I wanna do Is kill you All I wanna do Is kill you All I wanna do Is kill you All I wanna do Is kill you! Looking back, I was never ever right You were my step-mom Who always wanted me out of your sight I would come walking in, and I'd say hello But you slap me And you make some fucked up comment about my clothes Then I tried to let it pass But the visions in my head Were with you With a knife up your ass, laying dead So I pop some more caps in your ass Now your son is not so fun Motherfucking bitch Never try to play me You made my life not so good All I wanna do is kill you All I wanna do is kill you All I wanna do Is kill you All I wanna do Is kill you Wish you were dead, ahaha, now Now I know How can I cry over someone I never loved? How can I cry over someone I never loved? Never loved Never loved",Life is Peachy
Need To,"I, I am confused, fighting myself Wanting to give in, needing your help Skin cold with fear, feel it when we touch Outside, don't know you, but inside, I'm fucked Can you see it in me? Skin cold from touch Each day confronted with what I have done You pull me closer, I push you away You tell me it's okay, I can't help but feel the pain I hate you I love you Why's it you Why? Why? Why? Fuck you, bitch  I, I am confused, fighting myself Wanting to give in, needing your help Skin cold with fear, feel it when we touch Outside, don't know you, but inside, I'm fucked Can you see it in me? Skin cold from touch Each day confronted with what I have done You pull me closer, I push you away You tell me it's okay, I can't help but feel the pain I hate you I love you Why's it you Why? Why? Why? Fuck you, bitch Need to Need to Need to Fuck Fuck Fuck Fuck I hate you I loved you Why's it you Fucking need to Fuck Fuck Fuck Fuck Fuck Fuck Fuck Slut",Korn
Thoughtless,"Thumbing through the pages of my fantasies Pushing all the mercy down, down, down I wanna see you try to take a swing at me Come on, gonna put you on the ground, ground, ground Why are you trying to make fun of me? You think it's funny? What the fuck you think it's doing to me? You take your turn lashing out at me I want you crying with your dirty ass in front of me All of my hate cannot be bound I will not be drowned By your thoughtless scheming So you can try to tear me down Beat me to the ground I will see you screaming Thumbing through the pages of my fantasies I'm above you, smiling at you, drown, drown, drown I wanna kill and rape you the way you raped me And I'll pull the trigger and you're down, down, down Why are you trying to make fun of me? You think it’s funny? What the fuck you think it’s doing to me? You take your turn lashing out at me I want you crying with your dirty ass in front of me  Thumbing through the pages of my fantasies Pushing all the mercy down, down, down I wanna see you try to take a swing at me Come on, gonna put you on the ground, ground, ground Why are you trying to make fun of me? You think it's funny? What the fuck you think it's doing to me? You take your turn lashing out at me I want you crying with your dirty ass in front of me All of my hate cannot be bound I will not be drowned By your thoughtless scheming So you can try to tear me down Beat me to the ground I will see you screaming Thumbing through the pages of my fantasies I'm above you, smiling at you, drown, drown, drown I wanna kill and rape you the way you raped me And I'll pull the trigger and you're down, down, down Why are you trying to make fun of me? You think it’s funny? What the fuck you think it’s doing to me? You take your turn lashing out at me I want you crying with your dirty ass in front of me All of my hate cannot be bound I will not be drowned By your thoughtless scheming So you can try to tear me down Beat me to the ground I will see you screaming All my friends are gone, they died Gonna take you down They all screamed and cried Gonna take you down I've got my body, got my body back against the wall I've got my body, got my body back against the wall Gonna take you down I've got my body, got my body back against the wall I've got my body, got my body back against the wall Gonna take you down I've got my body, got my body back against the wall I've got my body, got my body back against the wall Gonna take you down I've got my body, got my body back against the wall I've got my body, got my body back against the wall All of my hate cannot be bound I will not be drowned By your thoughtless scheming So you can try to tear me down Beat me to the ground I will see you screaming All of my hate cannot be bound I will not be drowned By your thoughtless scheming So you can try to tear me down Beat me to the ground I will see you screaming",Untouchables
B.B.K.,"So you see I've gotten this far Please give me some place to rage I'm not trying to go there So take me away Life sometimes pisses me off It's never a good trip for me Every time I reach for love It's taken away Night, so I play Give me a sign, this is day Give me some patience, so I pray It's time to die, is that what I want? There's nothing wrong wanting to be loved Is there something wrong with me? For once in my life, I'd like to be really set free Let me be me Night, so I play Give me a sign, this is day Give me some guidance, so I pray It's time to die, is that what I want?  So you see I've gotten this far Please give me some place to rage I'm not trying to go there So take me away Life sometimes pisses me off It's never a good trip for me Every time I reach for love It's taken away Night, so I play Give me a sign, this is day Give me some patience, so I pray It's time to die, is that what I want? There's nothing wrong wanting to be loved Is there something wrong with me? For once in my life, I'd like to be really set free Let me be me Night, so I play Give me a sign, this is day Give me some guidance, so I pray It's time to die, is that what I want? Take me away Taken away Take me away Taken away Night, so I play Give me a sign, this is day Give me some patience, so I pray It's time to die, is that what I want? Night, so I play Give me a sign, this is day Give me some guidance, so I pray It's time to die, is that what I want?",Follow The Leader
Chi,"Pain Buried so far away Into my life of nothing Sick of the same old thing So I dig a hole and bury pain Sick of the same old thing So I dig a hole and bury pain I am so high always Burying my life so slowly Sick of the same old thing So I dig a hole and bury pain Sick of the same old thing So I dig a hole and bury pain Sick of the same old thing So I dig a hole and bury pain Sick of the same old thing So I dig a hole and bury pain  Pain Buried so far away Into my life of nothing Sick of the same old thing So I dig a hole and bury pain Sick of the same old thing So I dig a hole and bury pain I am so high always Burying my life so slowly Sick of the same old thing So I dig a hole and bury pain Sick of the same old thing So I dig a hole and bury pain Sick of the same old thing So I dig a hole and bury pain Sick of the same old thing So I dig a hole and bury pain It opens my mind to feelings Can't face boredom without something Sick of the same old thing So I dig a hole and bury pain Sick of the same old thing So I dig a hole and bury pain Sick of the same old thing So I dig a hole and bury pain Sick of the same old thing So I dig a hole and bury pain Re-entering my head Feeling like I'm God With the world around me Can't you feel this pain? Reaming through my heart Screaming through my voice Nothing I can kill Screaming a lie I am Can't you tear my eyes out? Can't you take my heart away to heart? Goodbye Sick of the same old thing So I dig a hole and bury pain Sick of the same old thing So I dig a hole and bury pain Sick of the same old thing So I dig a hole and bury pain Sick of the same old thing So I dig a hole and bury pain Pain, pain, pain Pain, pain, pain, pain",Life is Peachy
Divine,"I hide only to defy you Take away the only love inside you I'll see your face through everyone Inside I've just begun You think I'm out to scare you? I'm only out to prepare you For when you stop and turn around Your body's going down You're gonna waste your time Your life will soon be mine You're definitely one of a kind Your suffering 'cause of me is divine Tell me why you never liked me Tell me once that you'll fight me Bold, and I'll wait for the perfect time To take what's rightfully mine You play the dumb to defy me You say that you don't but defy me You wait, you don't want anyone Oh well  I hide only to defy you Take away the only love inside you I'll see your face through everyone Inside I've just begun You think I'm out to scare you? I'm only out to prepare you For when you stop and turn around Your body's going down You're gonna waste your time Your life will soon be mine You're definitely one of a kind Your suffering 'cause of me is divine Tell me why you never liked me Tell me once that you'll fight me Bold, and I'll wait for the perfect time To take what's rightfully mine You play the dumb to defy me You say that you don't but defy me You wait, you don't want anyone Oh well You're gonna waste your time Your life will soon be mine You're definitely one of a kind And your suffering 'cause of me is divine Know what? Fuck you, I'm fed up with you I'm not as good as you? Fuck no, I'm better than you Know what? Fuck you, I'm fed up with you I'm not as good as you? Fuck no, I'm better than you You know what? Fuck you, I'm fed up with you I'm not as good as you? Fuck no, I'm better than you You know what? Fuck you, I'm fed up with you I'm not as good as you? Fuck no, I'm better than you Know what? Fuck you, I'm fed up with you I'm not as good as you? Fuck no, I'm better than you Know what? Fuck you, I'm fed up with you I'm not as good as you? Fuck no, I'm better than you Know what? Fuck you, I'm fed up with you I'm not as good as you? Fuck no, I'm better than you You know what? Fuck you! I'm fed up with you I'm not as good as you? Fuck no, I'm better than you You're gonna waste your time Your life will soon be mine You're definitely one of a kind Your suffering 'cause of me is divine Did you really think you'd beat me at my own game? You tried to see what you got Me ripping at your brain",Korn
Michael and Geri,"Michael: Hi, there. Uh, Is it okay if I come over & take a look at your, uh, exhaust manifold on your Dodge Dart? I've got a piece missing somewhere on mine, and I'm not sure what it is. I want to see what you got on yours. Throttle valve strikes dash-pot rod. The rod must push diaphragm back before it can move back, air must be pushed up in. This causes the diaphragm to move slowly when the throttle valve is moved away. The stream will force diaphragm out the air must now vent the dash-pot is ready to work again. Geri: Is this, to this? Michael: I don't care what that… Geri: The rod that they're talking about? Michael: I don't care what that looks like Geri, I'm telling you what the dash-pot is. Where's the dash-pot on here, Geri? Geri: I don't know. Michael: Dash-pot is inside Geri where it's hooked up at. Michael: And that's not made… Michael: And that is not made to regulate the fuckin' choke goin' back & forth. Geri: And that's not the end-loader?  Michael: Hi, there. Uh, Is it okay if I come over & take a look at your, uh, exhaust manifold on your Dodge Dart? I've got a piece missing somewhere on mine, and I'm not sure what it is. I want to see what you got on yours. Throttle valve strikes dash-pot rod. The rod must push diaphragm back before it can move back, air must be pushed up in. This causes the diaphragm to move slowly when the throttle valve is moved away. The stream will force diaphragm out the air must now vent the dash-pot is ready to work again. Geri: Is this, to this? Michael: I don't care what that… Geri: The rod that they're talking about? Michael: I don't care what that looks like Geri, I'm telling you what the dash-pot is. Where's the dash-pot on here, Geri? Geri: I don't know. Michael: Dash-pot is inside Geri where it's hooked up at. Michael: And that's not made… Michael: And that is not made to regulate the fuckin' choke goin' back & forth. Geri: And that's not the end-loader? Michael: That's just so you can get pure fuel in there. Geri: Mm-hmm. Michael: As soon as you start crankin' it over, whoa! Deep now deep. You start sucking, and when I start sucking, this choke here. 'Cause you can't just have pure fuel, you won't light, you have to have a little bit of oxygen. Geri: Mm-hmm. Michael: It sucks open and it cracks the choke like this. And that's how that works. Geri: That is not what you just said. Michael: I said, no, Geri, the heating is the motherfuckin'… spring! This one here, as soon as you start turnin' over the engine, it's supposed to pull it back when the vacuum starts. When the vacuum starts, nothin' to do with fuckin' heat. Vacuum! Geri: Why are you screaming? Michael: Because the way you said, ""It's supposed to work off heat."" No, Geri! Geri: You said as the car gradually warms up.… Michael: As it gradually warms up, this muthafucker with the coil, the spring opens it up. This has already done it's job, the only thing it's job is to do is when you're cranking the engine up after it's been choked, all it does is pull back, then it cracks open just a pinch. Geri: Then you don't know what it's called. Michael: The Choke Vacuum Diaphragm. Geri: Okay. Michael: I mean, it's right there in the book. Geri: Sure it is. Michael: Oh God. You're a hard, hard woman to live with. Geri: If it was right here in the book, I would've found it. Michael: Oh you muthafucker, you asshole, you stupid son of a bitch, you showed it to me! Geri: What, Mike? Michael: You showed me the god damn thing in the book what it was called. That's what I knew what it was! Geri: Get out of here and quit yelling at me! Michael: No, Geri, you're fucked! Geri: I haven't seen that in there. Michael: I haven't seen it, you stupid son of a bitch. Geri: That vacuum thing? Yes. We don't know what the little business is. It doesn't explain anything. I haven't read anything that explains that. Michael: I told you what it says. Geri: Yeah, you did yes, yesterday. Michael: I just told you what it did. Geri: Mm-hmm? Michael: And you're sittin' there saying you never saw that before, and yet you're the one that fuckin' showed me it, Geri. Geri: You stink like gas. I told you that fuckin' fuel filter was not on there. It's not that fuckin' orange business hanging across the god damn business. Michael: Let's try rebuilding the fuckin' carburetor first, Geri. Let me tell you something, Geri. Let me tell you a little secret, Geri. Geri: Don't tell me any secrets, be quiet! Michael: Oh, man, I quit! I am fed up! I mean, I tell you something and you fuckin' don't believe me. You show me somethin', and you still don't fuckin' believe me. Geri: I can't show you anything, Michael, because your head is blank. Michael: Well your sittin' there tellin' me that muthafucker isn't that. ""Well that's not how it works."" Well, Geri, a mechanic told me that's how it works. Geri: Who's talking about the truck? We're talkin' about… Michael: A Dodge Dart, on slant six. Geri: You have lost your mind. Michael: What are you talkin' about? Geri: My God!",Korn
Mr. Rogers,"The time has come to realize What you are, what you've done inside The time has come All have something to talk about, I will too Looking back And now I realize How much you really liked him This child's mind you terrorized You came to him He really didn't know your lies Now his innocence's gone He's that child you terrorized This fucking thing that I feel It came to me from you This fucking thing that I Because of you My childhood is gone Because I loved you My childhood is gone Because I loved you Be my neighbor!  The time has come to realize What you are, what you've done inside The time has come All have something to talk about, I will too Looking back And now I realize How much you really liked him This child's mind you terrorized You came to him He really didn't know your lies Now his innocence's gone He's that child you terrorized This fucking thing that I feel It came to me from you This fucking thing that I Because of you My childhood is gone Because I loved you My childhood is gone Because I loved you Be my neighbor! Looking back And now I realize How much you really loved him This child's mind you've hypnotized You came to him He really didn't know your lies Now his innocence's gone I'm that child you terrorized This fucking thing that I feel It came to me from you This fucking thing that I feel Because of you My childhood is gone Because I loved you My childhood is gone Because I loved you Be my neighbor! Be my neighbor! My neighbor Fred, you told me everybody was my neighbor They took advantage of me You let them take their turns hitting me I wish I would have never watched you You really made my childhood a failure What a fucking neighbor Fred, you told me everybody was my neighbor They took advantage of me You let them take their turns hitting me I wish I would have never watched you You really made my childhood a failure What a fucking neighbor! I hate you! I will too I hate you! I will too I hate you! I will too I hate you! I hate you! Be my neighbor! Be my neighbor! This fucking thing that I feel! This fucking thing that I feel! My childhood is gone! My childhood is gone! This fucking thing that I feel! This fucking thing that I feel! My childhood is gone! My childhood is gone! I will too I will too I will too I will too I will too I will too I will too I will too I will too I will too",Life is Peachy
It's On!,"Come on Save some for me It's what I like I wanna play You know it's time Something is calling I can't keep from falling Come on It's on You see it's my fault Angels stabbing me inside Nothing changes, just rearranges For me this time Once I've been What can I fight? I can never win Myself, I don't like, I don't like I don't like, I don't like Something is calling I can't keep from falling  Come on Save some for me It's what I like I wanna play You know it's time Something is calling I can't keep from falling Come on It's on You see it's my fault Angels stabbing me inside Nothing changes, just rearranges For me this time Once I've been What can I fight? I can never win Myself, I don't like, I don't like I don't like, I don't like Something is calling I can't keep from falling Come on It's on You see it's my fault Angels stabbing me inside Nothing changes, just rearranges For me this time This time This time For me inside Put me inside Hold me this time Put me inside Come on It's on Come on It's on Come on It's on Come on Come on It's on",Follow The Leader
Idiosyncrasy,"And the dark seems to light my way And the path is deceiving And the end is so far away It might just defeat me But I gotta take my time And I won't let it take me away And it never got the best of me Don't do it Don't give in Won't you ever get it? Won't you ever get it? You've chose to walk a thin line Replaced the hurt without healing mine You hold disgust in your heart You just fucked with me, idiosyncrasy In my heart lies a blackened rage Sometimes it overtakes me Why the fuck did I run away? My shadow is waiting But I gotta face the facts Of a twisted reality And it never got a hold of me  And the dark seems to light my way And the path is deceiving And the end is so far away It might just defeat me But I gotta take my time And I won't let it take me away And it never got the best of me Don't do it Don't give in Won't you ever get it? Won't you ever get it? You've chose to walk a thin line Replaced the hurt without healing mine You hold disgust in your heart You just fucked with me, idiosyncrasy In my heart lies a blackened rage Sometimes it overtakes me Why the fuck did I run away? My shadow is waiting But I gotta face the facts Of a twisted reality And it never got a hold of me Don't do it Don't give in Won't you ever get it? Won't you ever get it? You've chose to walk a thin line Replaced the hurt without healing mine You hold disgust in your heart You just fucked with me, idiosyncrasy You've chose to walk a thin line Replaced the hurt without healing mine You hold disgust in your heart You just fucked with me, idiosyncrasy Crawling down the path, I'm helpless, reaching for the light I see Every time I get too close, the light proceeds ahead of me Taking deep, I take a step, standing up, I take a breath Running towards the light, I feel the fingers wrapped around my neck God is making fun of me He's laughing up there, I can see God is making fun of me He's laughing up there, I can see God is making fun of me God is making fun of me God is making fun of me He's laughing up there, I can see God is making fun of me He's laughing up there, I can see God is making fun of me He's laughing up there, I can see You've chose to walk a thin line Replaced the hurt without healing mine You hold disgust in your heart You just fucked with me, idiosyncrasy You've chose to walk a thin line Replaced the hurt without healing mine You hold disgust in your heart You just fucked with me, idiosyncrasy",The Nothing
Can You Hear Me,"It walks with me, it takes its time It sinks its teeth in one at a time It loves to feed, it loves my past It's always taunting but somehow out of grasp Can you hear me? 'Cause I'm lost And I may never come back again And while my heart keeps holding on I know I'll never be the same again It talks to me, it holds my hand It showers me with things I can't understand It has no reason, it knows no time It's constantly watching, so it's not left behind Can you hear me? 'Cause I'm lost And I may never come back again And while my heart keeps holding on I know I'll never be the same again Can you hear me? 'Cause I'm lost And I may never come back again And while my heart keeps holding on I know I'll never be the same again  It walks with me, it takes its time It sinks its teeth in one at a time It loves to feed, it loves my past It's always taunting but somehow out of grasp Can you hear me? 'Cause I'm lost And I may never come back again And while my heart keeps holding on I know I'll never be the same again It talks to me, it holds my hand It showers me with things I can't understand It has no reason, it knows no time It's constantly watching, so it's not left behind Can you hear me? 'Cause I'm lost And I may never come back again And while my heart keeps holding on I know I'll never be the same again Can you hear me? 'Cause I'm lost And I may never come back again And while my heart keeps holding on I know I'll never be the same again You know I'll never be the same again You know I'll never be the same again You know I'll never be the same again You know I'll never be the same again Can you hear me? 'Cause I'm lost And I may never come back again And while my heart keeps holding on I know I'll never be the same again I know I'll never be the same again I know I'll never be the same again I know I'll never be the same again I know I'll never be the same again",The Nothing
Lies,"I'd like to search inside For the things that you will hide What's the problem? Can't you seem to Search through these problems that haunt and taunt you? I smile while you're afraid You run while your soul pays Do you ever see outside your fears? Thinkin' about your life, thinkin' about your inner fear? Do you ever see it outside your fears? Thinkin' about your life, thinkin' about your inner fear? I'd like to search inside For the things that you will hide What's the problem? Can't you seem to Open your body and let me touch you? Do you ever see outside your fears? Thinkin' about your life, thinkin' about your inner fear? Do you ever see it outside your fears? Thinkin' about your life, thinkin' about your fear  I'd like to search inside For the things that you will hide What's the problem? Can't you seem to Search through these problems that haunt and taunt you? I smile while you're afraid You run while your soul pays Do you ever see outside your fears? Thinkin' about your life, thinkin' about your inner fear? Do you ever see it outside your fears? Thinkin' about your life, thinkin' about your inner fear? I'd like to search inside For the things that you will hide What's the problem? Can't you seem to Open your body and let me touch you? Do you ever see outside your fears? Thinkin' about your life, thinkin' about your inner fear? Do you ever see it outside your fears? Thinkin' about your life, thinkin' about your fear I want you to see the life you have disguised For all the things that hurt you, kept all these useless lies I want you to fear, fill you on up inside Once, I took you in, I'll throw you out next time I tried, you win My life is rippin' your heart out and destroyin' my pain, go Do you ever see outside your fears? Thinkin' about your life, thinkin' about your inner fear? Do you ever see it outside your fears? Thinkin' about your life , thinkin' about your inner fear? Do you ever see outside your fears? Thinkin' about your life, thinkin' about your inner fear? Do you ever see it outside your fears? Thinkin' about your life, thinkin' about your",Korn
Did My Time,"Realized I can never win Sometimes feel like I have failed Inside where do I begin? My mind is laughing at me Tell me, why am I to blame? Aren't we supposed to be the same? That's why I will never tame This thing that's burning in me I am the one who chose my path I am the one who couldn't last I feel the life pulled from me I feel the anger changing me Sometimes I can never tell If I've got something after me That's why I just beg and plead For this curse to leave me Tell me, why am I to blame? Aren't we suppose to be the same? That's why I will never tame This thing that's burning in me  Realized I can never win Sometimes feel like I have failed Inside where do I begin? My mind is laughing at me Tell me, why am I to blame? Aren't we supposed to be the same? That's why I will never tame This thing that's burning in me I am the one who chose my path I am the one who couldn't last I feel the life pulled from me I feel the anger changing me Sometimes I can never tell If I've got something after me That's why I just beg and plead For this curse to leave me Tell me, why am I to blame? Aren't we suppose to be the same? That's why I will never tame This thing that's burning in me I am the one who chose my path I am the one who couldn't last I feel the life pulled from me I feel the anger changing me Betrayed, I feel so enslaved I really tried, I did my time I did my time I did my time! I did my time! I did my time! I am the one who chose my path I am the one who couldn't last I feel the life pulled from me I feel the anger changing me Oh God, the anger's changing me! Oh God, the anger's changing me!",Take a Look in the Mirror
Start the Healing,"Do you really wanna come with me? It's hard to see from the eyes of a stranger Are you ready for the fear to leave So that you can breathe and not live with the danger? But there's always something fighting its way back in But there's always something pushing me to give in Do you really wanna make believe And try to achieve a little break from the anger? I should've been good, I should've been down I couldn't let go, what could I do? I should've withstood, I shouldn't bow down I couldn't get through, what could I do? Do you really wanna prowl with me? This travesty, it cuts sharp like a razor Are you ready for your scars to bleed? You will succeed pulling out the invaders  Do you really wanna come with me? It's hard to see from the eyes of a stranger Are you ready for the fear to leave So that you can breathe and not live with the danger? But there's always something fighting its way back in But there's always something pushing me to give in Do you really wanna make believe And try to achieve a little break from the anger? I should've been good, I should've been down I couldn't let go, what could I do? I should've withstood, I shouldn't bow down I couldn't get through, what could I do? Do you really wanna prowl with me? This travesty, it cuts sharp like a razor Are you ready for your scars to bleed? You will succeed pulling out the invaders But there's always something fighting its way back in But there's always something pushing me to give in Do you really wanna make believe And try to achieve a little break from the anger? I should've been good, I should've been down I couldn't let go, what could I do? I should've withstood, I shouldn't bow down I couldn't get through, what could I do? Everything I'm feeling burst into flames Looking at a soul that's broken and strained Every night the wish is always the same Keep on hoping that I don't go insane The more you fall for it, the more it starts to stick The more you fall for it, the more it starts to stick The more you fall for it, the more it starts to stick The more you fall for it, it's never gonna quit I should've been good, I should've been down I couldn't let go, what could I do? I should've withstood, I shouldn't bow down I couldn't get through, what could I do?",Requiem
Justin,"Fuck all that bullshit You watch me play I look away Your light's too bright You found the light Take off in space You and I Take off in space You and I You're gonna die Wanna meet me, why? I wish I had your strength Inside your soul escapes Take off in space You and I Take off in space You and I  Fuck all that bullshit You watch me play I look away Your light's too bright You found the light Take off in space You and I Take off in space You and I You're gonna die Wanna meet me, why? I wish I had your strength Inside your soul escapes Take off in space You and I Take off in space You and I Fly into me Tell me something for all The kids that die listening to me You are alive Take off in space You and I Take off in space You and I",Follow The Leader
Dirty,"Keep knocking No one's there Pouring down Near be felt I'm out here, by myself, all alone Ready to blow my head off I hurt so bad inside I wish you could see the world through my eyes Each day is the same I just wanna laugh again Keep hoping Nothing to spare So my life Isn't quite there I feel like a whore A dirty whore Such a whore Dirty I'm out here, by myself, all alone Ready to blow my head off I hurt so bad inside I wish you could see the world through my eyes Each day is the same I just wanna laugh again Just wanna laugh again  Keep knocking No one's there Pouring down Near be felt I'm out here, by myself, all alone Ready to blow my head off I hurt so bad inside I wish you could see the world through my eyes Each day is the same I just wanna laugh again Keep hoping Nothing to spare So my life Isn't quite there I feel like a whore A dirty whore Such a whore Dirty I'm out here, by myself, all alone Ready to blow my head off I hurt so bad inside I wish you could see the world through my eyes Each day is the same I just wanna laugh again Just wanna laugh again I'll take it I'll take it I will take it Give it to me You dirty little fuck Dirty little fuck You dirty little fuck Dirty little fuck You dirty little fuck Dirty little fuck You dirty little fuck Dirty little fuck You dirty little fuck I hurt so bad inside I wish you could see the world through my eyes Each day is the same I just wanna laugh again I just wanna laugh again I just wanna laugh again Just wanna laugh again Just wanna laugh again *Static*",Issues
The Darkness is Revealing,"Here behind the curtain lies a darkness feeding Pooled inside, in hunger cries, and still it's eating Everything I had to hide is all on my sleeve And behind the curtain lies my soul, I’m bleeding And I see it Can't believe it And the sun goes down Taking my heart What is this I'm feeling? Is it a new beginning? Am I purging past regrets Facing the hurt I’m dealing? How does one start healing? The darkness is revealing The bittersweet reality That this is the help I'm needing Why must I be bastardized? My essence flees Search my mind and all I find is banded feelings Once you pull the bandage off, you feel the sting Only way to fix it is through painful suffering  Here behind the curtain lies a darkness feeding Pooled inside, in hunger cries, and still it's eating Everything I had to hide is all on my sleeve And behind the curtain lies my soul, I’m bleeding And I see it Can't believe it And the sun goes down Taking my heart What is this I'm feeling? Is it a new beginning? Am I purging past regrets Facing the hurt I’m dealing? How does one start healing? The darkness is revealing The bittersweet reality That this is the help I'm needing Why must I be bastardized? My essence flees Search my mind and all I find is banded feelings Once you pull the bandage off, you feel the sting Only way to fix it is through painful suffering And I see it Can't believe it And the sun goes down Taking my heart What is this I'm feeling? Is it a new beginning? Am I purging past regrets Facing the hurt I'm dealing? How does one start healing? The darkness is revealing The bittersweet reality That this is the help I'm needing Take a look around at the morning star, he's coming for me Take a look around at the morning star, he's coming for me Take a look around at the morning star, he’s coming for me Take a look around at the morning star, he’s coming for me Take a look around at the morning star, he's coming for me Take a look around at the morning star, he’s coming for me Take a look around at the morning star, he's coming for me Take a look around at the morning star, he's coming for me Is he friend, is he foe, is he high, is he low? Where the fuck I'm supposed to go? Where the fuck I’m supposed to go? Take a look around at the morning star, he's coming for me Take a look around at the morning star, he's coming for me Is he friend, is he foe, is he high, is he low? Where the fuck I'm supposed to go? Where the fuck I'm supposed to go? Feel me, heal me All that's in me Give it all back I can't have this Feeling, failing All that's creating Fuck out Get the fuck out Get the fuck out Get the fuck out Get the fuck out Get the fuck out",The Nothing
Love & Meth,"Feelings you see are so hard to believe All the chaos I have in my heart Devils I make and the love can't relate All the solace inside tears me up Take me away, set me on fire There's no other way Give me a reason 'cause I got nothing to gain So what are we doing now? Feeling complacent, I cannot be contained I'm so lost and lonely now Weaving deceits is so easy for me 'Cause the loathing I've had from the start Evil disease, all the hatred it breeds As I'm down on my knees, torn apart Take me away, set me on fire There's no other way  Feelings you see are so hard to believe All the chaos I have in my heart Devils I make and the love can't relate All the solace inside tears me up Take me away, set me on fire There's no other way Give me a reason 'cause I got nothing to gain So what are we doing now? Feeling complacent, I cannot be contained I'm so lost and lonely now Weaving deceits is so easy for me 'Cause the loathing I've had from the start Evil disease, all the hatred it breeds As I'm down on my knees, torn apart Take me away, set me on fire There's no other way Give me a reason 'cause I got nothing to gain So what are we doing now? Feeling complacent, I cannot be contained I'm so lost and lonely now Where do I run? Where do I hide? Give me a reason to end my life Where do I run? Where do I hide? Give me a reason to get out alive Give me a reason 'cause I got nothing to gain So what are we doing now? Feeling complacent, I cannot be contained I'm so lost and lonely now Give me a reason 'cause I got nothing to gain So what are we doing now? Feeling complacent, I cannot be contained I'm so lost and lonely now",The Paradigm shift
